,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
2315,1620565200000,2021-05-09 13:00:00,BTCUSD,56419.67,57370.15,56408.17,57263.79,77.7309729956
2314,1620568800000,2021-05-09 14:00:00,BTCUSD,57263.79,57485.23,57172.74,57212.9,25.0965336467
2313,1620572400000,2021-05-09 15:00:00,BTCUSD,57212.9,57480.15,57064.12,57430.27,24.574395401
2312,1620576000000,2021-05-09 16:00:00,BTCUSD,57430.27,57966.78,57375.93,57654.68,28.2652469258
2311,1620579600000,2021-05-09 17:00:00,BTCUSD,57654.68,57696.51,57345.22,57525.53,40.0261012425
2310,1620583200000,2021-05-09 18:00:00,BTCUSD,57525.53,57717.03,57301.4,57539.77,39.596046373
2309,1620586800000,2021-05-09 19:00:00,BTCUSD,57539.77,57645.85,57158.16,57358.66,184.1894714541
2308,1620590400000,2021-05-09 20:00:00,BTCUSD,57358.66,58035.04,57329.27,57965.37,122.7679519948
2307,1620594000000,2021-05-09 21:00:00,BTCUSD,57965.37,58254.29,57894.42,58118.17,87.6443006613
2306,1620597600000,2021-05-09 22:00:00,BTCUSD,58118.17,58322.47,57937.0,58001.89,28.1343354184
2305,1620601200000,2021-05-09 23:00:00,BTCUSD,58001.89,58494.99,58001.89,58302.7,33.0889050825
2304,1620604800000,2021-05-10 00:00:00,BTCUSD,58302.7,58932.38,58109.55,58913.25,55.8821376139
2303,1620608400000,2021-05-10 01:00:00,BTCUSD,58913.25,59037.12,58693.5,58788.56,45.5666872961
2302,1620612000000,2021-05-10 02:00:00,BTCUSD,58788.56,59138.61,58734.03,59046.61,29.790981561
2301,1620615600000,2021-05-10 03:00:00,BTCUSD,59046.61,59481.34,59022.11,59407.78,86.9487899723
2300,1620619200000,2021-05-10 04:00:00,BTCUSD,59407.78,59584.99,59094.04,59260.0,48.2166653543
2299,1620622800000,2021-05-10 05:00:00,BTCUSD,59260.0,59500.0,58775.17,59132.45,54.8756160386
2298,1620626400000,2021-05-10 06:00:00,BTCUSD,59132.45,59255.29,58834.41,58925.49,24.8878964278
2297,1620630000000,2021-05-10 07:00:00,BTCUSD,58925.49,59028.58,58436.4,58436.41,27.3876706618
2296,1620633600000,2021-05-10 08:00:00,BTCUSD,58436.41,58623.0,58105.77,58454.15,37.3483445359
2295,1620637200000,2021-05-10 09:00:00,BTCUSD,58454.15,58655.91,57824.8,57956.98,28.0868099811
2294,1620640800000,2021-05-10 10:00:00,BTCUSD,57956.98,58222.42,57650.0,57907.65,31.7425583877
2293,1620644400000,2021-05-10 11:00:00,BTCUSD,57907.65,58371.43,57420.0,58201.27,42.0200821895
2292,1620648000000,2021-05-10 12:00:00,BTCUSD,58201.27,58378.38,57643.45,57775.42,48.5893041876
2291,1620651600000,2021-05-10 13:00:00,BTCUSD,57775.42,58049.4,57576.97,57786.67,66.5809149719
2290,1620655200000,2021-05-10 14:00:00,BTCUSD,57786.67,57786.67,56900.0,56900.0,152.6271307331
2289,1620658800000,2021-05-10 15:00:00,BTCUSD,56900.0,58433.33,56802.84,58379.74,110.082107735
2288,1620662400000,2021-05-10 16:00:00,BTCUSD,58379.74,58667.01,57683.27,57683.27,143.4917822117
2287,1620666000000,2021-05-10 17:00:00,BTCUSD,57683.27,57836.67,56950.0,57059.6,124.5983536223
2286,1620669600000,2021-05-10 18:00:00,BTCUSD,57059.6,57257.76,56509.0,56775.52,158.492911454
2285,1620673200000,2021-05-10 19:00:00,BTCUSD,56775.52,57054.63,55500.0,55715.91,344.6827573099
2284,1620676800000,2021-05-10 20:00:00,BTCUSD,55715.91,55715.91,53434.31,55321.3,570.426895154
2283,1620680400000,2021-05-10 21:00:00,BTCUSD,55321.3,55888.7,55126.58,55800.04,62.4930088408
2282,1620684000000,2021-05-10 22:00:00,BTCUSD,55800.04,56318.04,55500.0,56290.72,60.8833361972
2281,1620687600000,2021-05-10 23:00:00,BTCUSD,56290.72,56318.96,55560.0,55882.44,61.0361558893
2280,1620691200000,2021-05-11 00:00:00,BTCUSD,55882.44,56498.97,55459.97,55541.58,51.935710153
2279,1620694800000,2021-05-11 01:00:00,BTCUSD,55541.58,55859.33,55157.17,55596.8,97.3942471436
2278,1620698400000,2021-05-11 02:00:00,BTCUSD,55596.8,56000.01,54560.0,54672.35,159.1642950147
2277,1620702000000,2021-05-11 03:00:00,BTCUSD,54672.35,55315.12,54500.0,55194.75,76.3734996743
2276,1620705600000,2021-05-11 04:00:00,BTCUSD,55194.75,55591.37,55033.07,55368.18,52.1403141296
2275,1620709200000,2021-05-11 05:00:00,BTCUSD,55368.18,55531.92,54684.0,54869.28,19.4098044347
2274,1620712800000,2021-05-11 06:00:00,BTCUSD,54869.28,55846.97,54817.39,55765.95,18.9924910054
