unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1628946000000,2021-08-14 13:00:00,BTC/USDT,46266.38000000,46510.14000000,46100.00000000,46502.00000000,1663.87347000,77075639.90936887,95713
1628949600000,2021-08-14 14:00:00,BTC/USDT,46502.01000000,46950.00000000,46440.00000000,46900.00000000,2800.17573600,130834641.06178963,69893
1628953200000,2021-08-14 15:00:00,BTC/USDT,46899.99000000,46950.00000000,46539.94000000,46944.47000000,2118.64321900,99167581.73774154,54095
1628956800000,2021-08-14 16:00:00,BTC/USDT,46944.47000000,46985.19000000,46654.97000000,46857.88000000,1502.79864200,70391818.64569152,74538
1628960400000,2021-08-14 17:00:00,BTC/USDT,46857.89000000,46870.70000000,46568.21000000,46775.87000000,960.77749200,44930527.49898734,36384
1628964000000,2021-08-14 18:00:00,BTC/USDT,46775.88000000,46873.90000000,46668.20000000,46727.56000000,899.24171900,42046679.25804257,61928
1628967600000,2021-08-14 19:00:00,BTC/USDT,46725.20000000,47374.67000000,46652.03000000,47033.76000000,1705.34770700,80199299.34986841,48777
1628971200000,2021-08-14 20:00:00,BTC/USDT,47033.77000000,47047.14000000,46331.28000000,46620.55000000,2022.07364000,94197695.65100905,53656
1628974800000,2021-08-14 21:00:00,BTC/USDT,46620.55000000,47068.43000000,46613.91000000,47017.45000000,883.74371300,41412100.13884673,49245
1628978400000,2021-08-14 22:00:00,BTC/USDT,47017.45000000,47213.88000000,46827.25000000,46848.82000000,1197.24876700,56263612.40504053,38074
1628982000000,2021-08-14 23:00:00,BTC/USDT,46848.82000000,47189.98000000,46830.62000000,47068.51000000,930.46007500,43788756.31008241,32774
1628985600000,2021-08-15 00:00:00,BTC/USDT,47068.50000000,47242.24000000,46907.28000000,47195.90000000,1285.90445800,60562744.52501073,41545
1628989200000,2021-08-15 01:00:00,BTC/USDT,47195.90000000,47372.27000000,47058.44000000,47137.80000000,1058.20017300,49951817.11058079,84246
1628992800000,2021-08-15 02:00:00,BTC/USDT,47137.80000000,47329.92000000,47120.12000000,47182.21000000,1023.63398100,48355258.75087865,61404
1628996400000,2021-08-15 03:00:00,BTC/USDT,47182.20000000,47269.51000000,46802.00000000,46874.81000000,1171.40359700,55146656.57605150,94919
1629000000000,2021-08-15 04:00:00,BTC/USDT,46877.72000000,46888.00000000,46450.00000000,46721.99000000,1443.70285500,67386171.72972316,47876
1629003600000,2021-08-15 05:00:00,BTC/USDT,46721.99000000,46880.00000000,46501.00000000,46622.09000000,1224.79376400,57171755.59736021,89388
1629007200000,2021-08-15 06:00:00,BTC/USDT,46617.70000000,46773.13000000,46280.00000000,46406.29000000,1516.30954500,70477279.60674999,45286
1629010800000,2021-08-15 07:00:00,BTC/USDT,46406.29000000,46461.97000000,45519.00000000,45742.92000000,4249.20102100,195526429.16029975,99042
1629014400000,2021-08-15 08:00:00,BTC/USDT,45738.34000000,45918.88000000,45555.55000000,45732.93000000,2481.79687300,113569400.32695461,172777
1629018000000,2021-08-15 09:00:00,BTC/USDT,45732.94000000,46167.26000000,45640.00000000,46027.35000000,1769.31991200,81259656.62875907,53523
1629021600000,2021-08-15 10:00:00,BTC/USDT,46027.34000000,46142.97000000,45800.00000000,45929.98000000,2006.16553000,92235234.63135809,47229
1629025200000,2021-08-15 11:00:00,BTC/USDT,45929.98000000,46120.00000000,45650.16000000,45923.57000000,1615.71504500,74153177.84489780,47037
1629028800000,2021-08-15 12:00:00,BTC/USDT,45923.57000000,46070.00000000,45700.44000000,45808.00000000,1372.55048700,62946206.41606293,42003
1629032400000,2021-08-15 13:00:00,BTC/USDT,45808.00000000,46070.00000000,45500.00000000,46050.00000000,1911.24599100,87529798.03243646,53351
1629036000000,2021-08-15 14:00:00,BTC/USDT,46049.99000000,46498.89000000,45759.91000000,45862.84000000,2612.72490800,120720724.93845534,67231
1629039600000,2021-08-15 15:00:00,BTC/USDT,45862.84000000,46199.50000000,45810.73000000,46167.90000000,1398.39949000,64323828.51794621,40297
1629043200000,2021-08-15 16:00:00,BTC/USDT,46173.49000000,46349.08000000,45859.66000000,45890.47000000,1428.20595600,65870393.79195257,41752
1629046800000,2021-08-15 17:00:00,BTC/USDT,45890.46000000,46072.46000000,45649.82000000,45973.90000000,1801.95225300,82601149.41986781,48082
1629050400000,2021-08-15 18:00:00,BTC/USDT,45973.90000000,46299.00000000,45835.76000000,46281.82000000,2013.99270500,92774835.37681804,47936
1629054000000,2021-08-15 19:00:00,BTC/USDT,46281.82000000,46428.21000000,46070.52000000,46341.80000000,1405.62871200,65014613.89284476,40311
1629057600000,2021-08-15 20:00:00,BTC/USDT,46337.77000000,46735.63000000,46254.24000000,46676.30000000,1873.55446800,87161819.92521829,51615
1629061200000,2021-08-15 21:00:00,BTC/USDT,46676.31000000,46980.00000000,46450.00000000,46837.56000000,1452.23466900,67925646.94377418,61829
1629064800000,2021-08-15 22:00:00,BTC/USDT,46837.57000000,47255.00000000,46835.00000000,47210.67000000,2041.96843700,96171683.10137442,93039
1629068400000,2021-08-15 23:00:00,BTC/USDT,47210.67000000,47299.15000000,46856.37000000,46973.82000000,1952.10650400,91917430.36674938,108404
1629072000000,2021-08-16 00:00:00,BTC/USDT,46973.82000000,47800.00000000,46741.44000000,47546.67000000,4252.71541000,201918480.11577036,136952
1629075600000,2021-08-16 01:00:00,BTC/USDT,47546.68000000,47692.19000000,47464.72000000,47634.64000000,1512.47743300,71944703.19057737,42200
1629079200000,2021-08-16 02:00:00,BTC/USDT,47634.64000000,48002.00000000,47541.00000000,47993.82000000,3257.05726700,155827215.61098734,64521
